id,msid,title,abstract,cite_count,DOI,location
144,187591,'A pattern approach to interaction design',"'To create successful interactive systems, user interface  designers need to cooperate with developers and application domain experts in an interdisciplinary team. These groups, however, usually miss a common terminology to exchange ideas, opinions, and values.This paper presents an approach that uses pattern languages to capture this knowledge in software development, HCI, and the application domain. A formal, domain-independent definition of design patterns allows for computer support without sacrificing readability, and pattern use is integrated into the usability engineering  life cycle.As an example, experience from building an award-winning interactive music  exhibit was turned into a pattern language, which was then used to inform follow-up projects and support HCI education.'",311,'10.1145/347642.347795','Designing Interactive Systems - DIS'
145,187665,'Understanding and Using Context',"'Context is a poorly used source of information in our computing environments. As a result, we have an impoverished understanding of what context is and how it can be used. In this paper, we provide an operational definition of context and discuss the different ways that context can be used by context-aware applications. We also present the Context Toolkit, an architecture that supports the building of these context-aware applications. We discuss the features and abstractions in the toolkit that make the task of building applications easier. Finally, we introduce a new abstraction, a situation, which we believe will provide additional support to application designers.'",1271,'10.1007/s007790170019','Personal and Ubiquitous Computing - PUC'
146,191246,'Relevance Feedback: A Power Tool for Interactive Content-Based Image Retrieval',"'Content-based image retrieval  (CBIR) has become one of the most active research areas in the past few years. Many visual feature representations have been explored and many systems built. While these research efforts establish the basis of CBIR, the usefulness of the proposed approaches is limited. Specifically, these efforts have relatively ignored two distinct characteristics of CBIR systems: (1) the gap between high-level concepts and low-level features, and (2) the subjectivity of human perception  of visual content. This paper proposes a relevance feedback  based interactive retrieval approach, which effectively takes into account the above two characteristics in CBIR. During the retrieval process, the user's high-level query and perception subjectivity are captured by dynamically updated weights based on the user's feedback. The experimental results over more than 70000 images show that the proposed approach greatly reduces the user's effort of composing a query, and captures the user's information need  more precisely'",990,'10.1109/76.718510','IEEE Transactions on Circuits and Systems for Video Technology - TCSV'
147,191367,'Interactive sketching for the early stages of user interface design',"'Current interactive user interface  construction tools are often more of a hindrance than a benefit during the early stages of user interface  design. These tools take too much time to use and force designers to specify more of the design details than they wish at this early stage. Most interface designers, especially those who have a background in graphic design, prefer to sketch early interface ideas on paper or on a whiteboard. We are developing an interactive tool called SILK that allows designers to quickly sketch an interface using an electronic pad and stylus. SILK preserves the important properties of pencil and paper: a rough drawing can be produced very quickly and the medium is very flexible. However, unlike a paper sketch, this electronic sketch is interactive and can easily be modified. In addition, our system allows designers to examine, annotate, and edit a complete history of the design. When the designer is satisfied with this early prototype, SILK can transform the sketch into a complete, operational interface in a specified look-and-feel. This transformation is guided by the designer. By supporting the early phases of the interface design  life cycle, our tool should both ease the development of user interface  prototypes and reduce the time needed to create a final interface. This paper describes our prototype and provides design ideas for a production-level system.'",265,'10.1145/223904.223910','Computer Human Interaction - CHI'
148,197794,'User interface directions for the Web',"' signing a large site requires collaborationbetween a team of UI professionals, and some UIwill prefer to stay with their traditional role of softwaredesign rather than moving into the wild worldof Web design.There are three possible solutions to the problem:. Make it possible to design reasonably usable siteswithout having UI expertise;. Train more people in good Web design; and. Live with poorly designed sites that are hard to use.The third option is not acceptable in my opinion.... '",168,'10.1145/291469.291470','Communications of The ACM - CACM'
149,198585,"'Social information filtering: algorithms for automating ""word of mouth""'","'This paper describes a technique for making personalized recommendations from any type of database to a user based on similarities between the interest profile of that user and those of other users. In particular, we discuss the implementation of a networked system called Ringo, which makes personalized recommendations for music albums and artists. Ringo's database of users and artists grows dynamically as more people use the system and enter more information. Four different algorithms for making recommendations by using social information filtering  were tested and compared. We present quantitative and qualitative results obtained from the use of Ringo by more than 2000 people.'",1335,'10.1145/223904.223931','Computer Human Interaction - CHI'
150,203781,'Adaptation and Mobility in Wireless hformation Systems',"'A confusing array of new wireless ""untethered"" communications services, for voice and data, in real-time or delayed, interactive or one-way, in-building or out-of-doors, are rapidly becoming available. In this paper, we argue that despite the widely varying issues of engineering that span the creation of these diverse wireless services, the unique underlying aspect is that they must be able to adapt to a constantly changing environment brought on by mobility. Mobile systems  must be able to detect their transmission environment and exploit knowledge about its cur - rent situation, so-called ""situation awareness,"" to improve the quality of communications. Handoff in cellular phone systems is one example of detection and reaction to the environment. A more pervasive understanding of how to exploit adaptation and situation awareness  will be the challenge, especially as systems transition from communica- tions to more general wireless information systems.'",296,null,'IEEE Personal Communications - IEEE Pers. Commun.'
151,206623,'Information retrieval on the web',"'In this paper we review studies of the growth of the Internet and technologies that are useful for information search and retrieval  on the Web. We present data on the Internet from several different sources, e.g., current as well as projected number of users, hosts, and Web sites. Although numerical figures vary, overall trends cited by the sources are consistent and point to exponential growth  in the past and in the coming decade. Hence it is not surprising that about 85% of Internet users surveyed claim using search engines and search services to find specific information. The same surveys show, however, that users are not satisfied with the performance of the current generation of search engines; the slow retrieval speed, communication delays, and poor quality of retrieved  results (e.g., noise and broken links) are commonly cited problems. We discuss the development of new techniques targeted to resolve some of the problems associated with Web-based information retrieval  and speculate on future trends.'",277,'10.1145/358923.358934','ACM Computing Surveys - CSUR'
152,206883,'Bridging physical and virtual worlds with electronic tags',"'The role of computers in the modern office has divided ouractivities between virtual interactions in the realm of thecomputer and physical interactions with real objects within thetraditional office infrastructure. This paper extends previous workthat has attempted to bridge this gap, to connect physical objectswith virtual representations or computational functionality, viavarious types of tags. We discuss a variety of scenarios we haveimplemented using a novel combination of inexpensive, unobtrusiveand easy to use RFID tags, tag readers, portable computers andwireless networking. This novel combination demonstrates theutility of invisibly, seamlessly and portably linking physicalobjects to networked electronic services  and actions that arenaturally associated with their form.'",364,'10.1145/302979.303111','Computer Human Interaction - CHI'
153,212142,'A Probabilistic Approach to Collaborative Multi-Robot Localization',"'This paper presents a statistical algorithm for collaborative mobile robot  localization. Our approach uses a sample-based version of Markov localization, capable of localizing mobile robots in an any-time fashion. When teams of robots localize themselves in the same environment, probabilistic methods are employed to synchronize each robot's belief whenever one robot detects another. As a result, the robots localize themselves faster, maintain higher accuracy, and high-cost sensors are amortized across multiple robot platforms. The technique has been implemented and tested using two mobile robots equipped with cameras and laser range-finders for detecting other robots. The results, obtained with the real robots and in series of simulation runs, illustrate drastic improvements in localization speed and accuracy when compared to conventional single-robot localization. A further experiment demonstrates that under certain conditions, successful localization is only possible if teams of heterogeneous robots collaborate during localization.'",275,null,'Autonomous Robots - AROBOTS'
154,214212,'Evaluating evaluation measure stability',"'This paper presents a novel way of examining the accuracy of the evaluation measures commonly used in information retrieval  experiments. It validates several of the rules-of-thumb experimenters use, such as the number of queries needed for a good experiment is at least 25 and 50 is better, while challenging other beliefs, such as the common evaluation measures are equally reliable. As an example, we show that Precision at 30 documents has about twice the average error rate  as Average Precision  has. These results can help information retrieval  researchers design experiments that provide a desired level of confidence in their results. In particular, we suggest researchers using Web measures such as Precision at 10 documents will need to use many more than 50 queries or will have to require two methods to have a very large difference in evaluation scores before concluding that the two methods are actually different.'",235,'10.1145/345508.345543','Research and Development in Information Retrieval - SIGIR'
155,217077,'Aspect-Oriented Programming',null,4218,'10.1007/3-540-46589-8_17',null
156,217581,'Empirical Analysis of Predictive Algorithms for Collaborative Filtering',"'Collaborative filtering  or recommender systemsuse a database about user preferences  topredict additional topics or products a newuser might like. In this paper we describe several algorithms designed for this task, including techniques based on correlation coefficients,vector-based similarity calculations,and statistical Bayesian methods. We comparethe predictive accuracy of the various methods in a set of representative problemdomains. We use two basic classes of evaluation... '",1477,null,'Uncertainty in Artificial Intelligence - UAI'
157,221740,'Toolglass and Magic Lenses: The See-Through Interface',"'Toolglass widgets are new user interface  tools that can appear, as though on a transparent sheet of glass, between an application and a traditional cursor. They can be positioned with one hand while the other positions the cursor. The widgets provide a rich and concise vocabulary for operating on application objects. These widgets may incorporate visual filters, called Magic Lens filters, that modify the presentation of application objects to reveal hidden information, to enhance data of interest, or to suppress distracting information. Together, these tools form a see-through interface that offers many advantages over traditional controls. They provide a new style of interaction that better exploits the user' s everyday skills. They can reduce steps, cursor motion, and errors. Many widgets can be provided in a user inter - face, by designers and by users, without requiring dedicated screen space. In addition, lenses provide rich context -dependent feedback and the ability to view details and context simultaneous - ly. Our widgets and lenses can be combined to form operation and viewing macros, and can be used over multiple applications. CR Categories and Subject Descriptors: I.3.6 (Computer Graphics): Methodology and Techniques  interaction techniques; H.5.2 (Information Interfaces and Presentation): User Inter- faces interaction styles; I.3.3 ( Computer Graphics): Picture/Image Generation viewing algorithms; I.3.4 (Computer Graphics): Graphics Utilities graphics editors'",611,'10.1145/166117.166126','Annual Conference on Computer Graphics - SIGGRAPH'
158,229743,'The smart floor: a mechanism for natural user identification and tracking','We have created a system for identifying people based on their footstep force profiles and have tested its accuracy against a large pool of footstep data. This floor system may be used to identify users transparently in their everyday living and working environments. We have created user footstep models based on footstep profile features and have been able to achieve a recognition rate of 93%. We have also shown that the effect of footwear is negligible on recognition accuracy.',262,'10.1145/633292.633453','Computer Human Interaction - CHI'
159,245032,"'Charting past, present, and future research in ubiquitous computing'","'The proliferation of computing into the physical world promises more than the ubiquitous availability of computing infrastructure; it suggest new paradigms of interaction inspired by constant access to information  and computational capabilities. For the past decade, application-driven research on abiquitous computing (ubicomp) has pushed three interaction themes:natural interfaces, context-aware applications,andautomated capture and access. To chart a course for future research in ubiquitous computing, we review the accomplishments of these efforts and point to remaining research challenges. Research in ubiquitious computing implicitly requires addressing some notion of scale, whether in the number and type of devices, the physical space of    distributed computing, or the number of people using a system. We posit a new area of applications research, everyday computing, focussed on scaling interaction with respect to time. Just as pushing the availiability of computing away from the traditional desktop fundamentally changes the relationship between humans and computers, providing continuous interaction moves computing from a localized tool to a constant companion. Designing for continous interaction requires addressing interruption and reumption of intreaction, representing passages of time and providing associative storage models. Inherent in all of these interaction themes are difficult issues in the social implications of ubiquitous computing  and the challenges of    evaluating> ubiquitious computing research. Although cumulative experience points to lessons in privacy, security, visibility, and control, there are no simple guidelines for steering research efforts. Akin to any efforts involving new technologies, evaluation strategies form a spectrum  from technology feasibility efforts to long-term use studiesbut a user-centric perspective is always possible and necessary'",708,'10.1145/344949.344988','ACM Transactions on Computer-human Interaction - TOCHI'
160,254361,'Combining Collaborative Filtering with Personal Agents for Better Recommendations','Information filtering  agents and collaborative filtering  both attempt to alleviate information overload  by identifying which items a user will find worthwhile. Information filtering  (IF) focuses on the analysis of item content and the development of a personal user interest profile. Collaborative filtering  (CF) focuses on identificatio n of other users with similar tastes and the use of their opinions to recommend items. Each technique has advantages and limitations that suggest that the two could be beneficially combined. This paper shows that a CF framework can be used to combine personal IF agents and the opinions of a community of users to produce better recommendations than either agents or users can produce alone. It also shows that using CF to create a personal combination of a set of agents produces better results than either individual agents or other combination mechanisms. One key implication of these results is that users can avoid having to select among agents; they can use them all and let the CF framework select the best ones for them.',353,null,'National Conference on Artificial Intelligence - AAAI'
161,262714,'Context-aware computing applications',"'Describes systems that examine and react to an individual's changing context. Such systems can promote and mediate people's interactions with devices, computers and other people, and they can help navigate unfamiliar places. We believe that a limited amount of information covering a person's proximate environment is most important for this form of computing, since the interesting part of the world around us is what we can see, hear and touch. In this paper, we define context-aware computing and describe four categories of context-aware applications: proximate selection, automatic contextual reconfiguration, contextual information  and commands, and content-triggered actions. Instances of these application types have been prototyped on the PARCTAB, a wireless palm-sized computer'",1257,'10.1109/MCSA.1994.512740','Workshop on Mobile Computing Systems and Applications - WMCSA'
162,265373,'Learning Collaborative Information Filters',"'Predicting items a user would like on the basis of other users' ratings for these items has become a well-established strategy adopted by many recommendation services on the Internet. Although this can be seen as a classification problem, algo- rithms proposed thus far do not draw on results from the ma- chine learning literature. We propose a representation for collaborative filtering  tasks that allows the application of virtually any machine learning  algorithm. We identify the shortcomings of current collaborative filtering  techniques and propose the use of learning algorithms paired with feature extraction  techniques that specifically address the limitations of previous approaches. Our best-performing algorithm is based on the singular value decomposition  of an initial matrix of user ratings, exploiting latent structure that essentially eliminates the need for users to rate common items in order to become predictors for one another's preferences. We evaluate the proposed algorithm on a large database of user ratings for motion pictures  and find that our approach significantly out- performs current collaborative filtering  algorithms.'",393,null,'International Conference on Machine Learning - ICML'
163,270086,'RADAR: An In-Building RF-based User Location and Tracking System',"'The proliferation of mobile computing devices and local-area wireless networks has fostered a growing interest in location-aware systems and services. In this paper we present RADAR, a radio-frequency (RF) based system for locating and tracking users inside buildings. RADAR operates by recording and processing signal strength  information at multiple base stations positioned to provide overlapping coverage in the area of interest. It combines empirical measurements with signal propagation modeling to determine user location and thereby enable location- aware services and applications. We present experimental results that demonstrate the ability of RADAR to estimate user location with a high degree of accuracy.'",2507,'10.1109/INFCOM.2000.832252','IEEE INFOCOM - INFOCOM'
164,274287,'Ambient Displays: Turning Architectural Space into an Interface between People and Digital Information',"'We envision that the architectural space we inhabit will be a new form of interface between humans and online digital information. This paper discusses Ambient Displays: a new approach to interfacing people with online digital information. Ambient Displays present information within a space through subtle changes in light, sound, and movement, which can be processed in the background of awareness. We describe the design and implementation  of two example Ambient Displays, the ambientROOM and Ambient Fixtures. Additionally, we discuss applications of Ambient Displays and propose theories of design of such interfaces based on our initial experiences.'",235,'10.1007/3-540-69706-3_4','Cooperative Buildings - CoBuild'
165,275561,'VisualSEEk: A Fully Automated Content-Based Image Query System',"'We describe a highly functional prototype system for searching by visual features  in an image database. The VisualSEEk system is novel in that the user forms the queries by diagramming spatial arrangements of color regions. The system finds the images that contain the most similar arrangements of similar regions. Prior to the queries, the system automatically extracts and in- dexes salient color regions from the images. By utilizing efficient indexing techniques for color information, re- gion sizes and absolute and relative spatial locations, a wide variety of complex joint color/spatial queries may be computed.'",961,'10.1145/244130.244151','ACM Multimedia Conference - MM'
166,280186,'The metaDESK: Models and Prototypes for TangibleUser Interfaces',"'The metaDESK is a user interface  platform demonstrating new interaction techniques we call ""tangible user inter- faces."" We explore the physical instantiation of interface elements from the graphical user interface  paradigm, giving physical form to windows, icons, handles, menus, and controls. The design and implementation  of the metaDESK display, sensor, and software architectures is discussed. A prototype application driving an interaction with geographi- cal space, Tangible Geospace, is presented to demonstrate these concepts.'",301,'10.1145/263407.263551','User Interface Software and Technology - UIST'
167,282336,"'Tangible bits: towards seamless interfaces between people, bits and atoms'","'This paper presents our vision of Human Computer Interaction  (HCI): ""Tangible Bits."" Tangible Bits allows users to ""grasp & manipulate"" bits in the center of users' attention by coupling the bits with everyday physical objects and architectural surfaces. Tangible Bits also enables users to be aware of background bits at the periphery of human perception  using ambient display  media such as light, sound, airflow, and water movement in an augmented space. The goal of Tangible Bits is to bridge the gaps between both cyberspace and the physical environment, as well as the foreground and background of human activities. This paper describes three key concepts of Tangible Bits: interactive surfaces; the coupling of bits with graspable physical objects; and ambient media  for background awareness. We illustrate these concepts with three prototype systems - the metaDESK, transBOARD and ambientROOM - to identify underlying research issues.'",1469,'10.1145/258549.258715','Computer Human Interaction - CHI'
168,285010,"'Past, present, and future of user interface software tools'","'A user interface software  tool helps developers design and implement the user interface. Research on past tools has had enormous impact on today's developersvirtually all applications today are built using some form of user interface  tool. In this article, we consider cases of both success and failure in past user interface  tools. From these cases we extract a set of themes which can serve as lessons for future work. Using these themes, past tools can be characterized by what aspects of the user interface  they addressed, their threshold and ceiling, what path of least resistance they offer, how predictable they are to use, and whether they addressed a target that became irrelevant. We believe the lessons of these past themes are particularly important now, because increasingly  rapid technological changes are likely to significantly change user interfaces. We are at the dawn of an era where user interfaces are about to break out of the ""desktop"" box where they have been stuck for the past 15 years. The next millenium will open with an increasing diversity of user interface  on an increasing diversity of computerized devices. These devices include hand-held personal digital assistants (PDAs), cell phones, pages, computerized pens, computerized notepads, and various kinds of desk and wall size-computers, as well as devices in everyday objects (such as mounted on refridgerators, or even embedded in truck tires). The increased connectivity of computers, initially evidenced by the World Wide Web, but spreading also with technologies such as personal-area  networks, will also have a profound effect on the user interface  to computers. Another important force will be recognition-based user interfaces, especially speech, and camera-based vision systems. Other changes we see are an increasing need for 3D and end-user customization, programming, and scripting. All of these changes will require significant support from the underlying user interface  sofware tools.'",283,'10.1145/344949.344959','ACM Transactions on Computer-human Interaction - TOCHI'
169,304252,'Evaluating Collaborative Filtering Recommender Systems',"'Recommender systems have been evaluated in many, often incomparable, ways. In this article, we review the key decisions in evaluating collaborative filtering  recommender systems: the user tasks being evaluated, the types of analysis and datasets being used, the ways in which prediction quality is measured, the evaluation of prediction attributes other than quality, and the user-based evaluation of the system as a whole. In addition to reviewing the evaluation strategies used by prior researchers, we present empirical results from the analysis of various accuracy metrics on one con- tent domain where all the tested metrics collapsed roughly into three equivalence classes. Metrics within each equivalency class were strongly correlated, while metrics from different equivalency classes were uncorrelated.'",512,null,null
170,307475,'CURE: An Efficient Clustering Algorithm for Large Databases',"'Clustering, in data mining, is useful for discovering groups and identifying interesting distributions in the underlying data. Traditional clustering algorithms either favor clusters with spherical shapes and similar sizes, or are very frag- ile in the presence of outliers. We propose a new cluster- ing algorithm called CURE that is more robust to outliers, and identifies clusters having non-spherical shapes and wide variances in size. CURE achieves this by representing each cluster by a certain fixed number of points that are gen- erated by selecting well scattered points from the cluster and then shrinking them toward the center of the cluster by a specified fraction. Having more than one representa- tive point per cluster allows CURE to adjust well to the geometry of non-spherical shapes and the shrinking helps to dampen the effects of outliers. To handle large databases, CURE employs a combination of random sampling  and par- titioning. A random sample drawn from the data set is first partitioned and each partition is partially clustered. The partial clusters are then clustered in a second pass to yield the desired clusters. Our experimental results confirm that the quality of clusters produced by CURE is much better than those found by existing algorithms. Furthermore, they demonstrate that random sampling  and partitioning enable CURE to not only outperform existing algorithms but also to scale well for large databases without sacrificing cluster- ing quality.'",865,'10.1145/276304.276312','International Conference on Management of Data - SIGMOD'
171,308079,'World-Wide Web: The Information Universe',"'The World-Wide Web (W3) initiative is a practical project to bring a global information universe into existence using available technology. This article describes the aims, data model, and protocols needed to implement the ""web"", and compares them with various contemporary systems. The Dream Pick up your pen, mouse or favorite pointing device  and press it on a reference in this document - perhaps to the author's name, or organization, or some related work. Suppose you are directly presented with the background material - other papers, the author's coordinates, the organization's address and its entire telephone directory. Suppose each of these documents has the same property of being linked to other original documents all over the world. You would have at your fingertips all you need to know about electronic publishing, high-energy physics or for that matter Asian culture. If you are reading this article on paper, you can only dream, but read on. Since Vannevar Bush's article (1), men have dreamed of extending their intellect by making their collective knowledge available to each individual by using machines. Computers give us two practical techniques for the man-knowledge interface. One is hypertext, in which links between pieces of text (or other media) mimic human association of ideas. The other is text retrieval, which allows associations to be deduced from the content of text. In the first case, the reader's operation is typically to click with a mouse (or type in a reference number) - in the second case, it is to supply some words representing that which he desires. The W3 ideal world allows both operations, and provides access from any browsing platform.'",417,'10.1108/eb047254',"'Electronic Networking: Research, Applications and Policy - EN'"
172,320417,'The Challenges of Mobile Computing',"' Advances in wireless networking technology have engendered a new paradigm ofcomputing, called mobile computing, in which users carrying portable devices haveaccess to a shared infrastructure independent of their physical location. This providesflexible communication between people and continuous access to networked services.Mobile computing is expected to revolutionize the way computers are used.This paper is a survey of the fundamental software design  pressures particular tomobile... '",621,'10.1109/2.274999','IEEE Computer - COMPUTER'
173,329837,'Dynamic queries for information exploration: an implementation and evaluation',"'We designed, implemented and evaluated a new concept for direct manipulation  of databases, called dynamic queries, that allows users to formulate queries with graphical widgets, such as sliders. By providing a graphical visualization of the database and search results, users can find trends and exceptions easily. Eighteen undergraduate chemistry students performed statistically significantly faster using a dynamic queries interface compared to two interfaces both providing form fill-in as input method, one with graphical visualization output and one with all-textual output. The interfaces were used to explore the periodic table of elements and search on their properties.'",329,'10.1145/142750.143054','Computer Human Interaction - CHI'
174,334206,'Disseminating active map information to mobile hosts',"'The article describes an active map service (AMS) that supports context-aware computing by providing clients with information about located-objects and how those objects change over time. The authors focus on the communication issues of disseminating information from an active map server to its clients, and in particular, address how to deal with various overload situations that can occur. Simple unicast callbacks to interested clients work well enough if only a few located-objects are moving at any given time and only a few clients wish to know about any given move. However, if many people are moving about in the same region and many clients are interested in their motion, then the AMS may experience overload due to the quadratic nature of the communications involved. This overload affects both the server as well as any slow communications links being used. Mobile distributed computing  enables users to interact with many different mobile and stationary computers over the course of the day. Navigating a mobile environment  can be aided by active maps that describe the location and characteristics of objects within some region as they change over time'",397,'10.1109/65.313011','IEEE Network - NETWORK'
175,334289,'External cognition: how do graphical representations work?','Running title: External Cognition: how do Graphical Representations work?',426,'10.1006/ijhc.1996.0048','International Journal of Human-computer Studies / International Journal of Man-machine Studies - IJMMS'
176,340335,'GroupLens: an open architecture for collaborative filtering of netnews',"'Collaborative filters help people make choices based on the opinions of other people. GroupLens is a system for collaborative filtering  of netnews, to help people find articles they will like in the huge stream of available articles. News reader clients display predicted scores and make it easy for users to rate articles after they read them. Rating servers, called Better Bit Bureaus, gather and disseminate the ratings. The rating servers predict scores based on the heuristic that people who agreed in the past will probably agree again. Users can protect their privacy by entering ratings under pseudonyms, without reducing the effectiveness of the score prediction. The entire architecture is open: alternative software for news clients and Better Bit Bureaus can be developed  independently and can interoperate with the components we have developed.'",1541,'10.1145/192844.192905','Conference on Computer Supported Cooperative Work - CSCW'
177,342112,'Characteristics of WWW Client-based Traces',null,423,null,null
178,347375,'Interacting with paper on the DigitalDesk',"' this article is divided into four parts: a brief description of the system, some exampleapplications, some technical issues, and finally some concluding observations.Published in Communications of the ACM, July 1993 EuroPARC tech report EPC-93-195 Page 3 / 17 '",605,'10.1145/159544.159630','Communications of The ACM - CACM'
179,359671,'Data Mining: An Overview from a Database Perspective',"' Mining information and knowledge from large databases has been recognized by many researchers as a key research topic in database systems and machine learning, and by many industrial companies as an important area with an opportunity of major revenues. Researchers in many different fields have shown great interest in data mining. Several emerging applications in information providing services, such as data warehousing  and on-line services over the Internet, also call for various data mining... '",879,'10.1109/69.553155','IEEE Transactions on Knowledge and Data Engineering - TKDE'
180,362729,'Visualizing Network Data',"'Networks are critical to modern society, and a thorough understanding of how they behave is crucial to their efficient operation. Fortunately, data on networks is plentiful; by visualizing this data, it is possible to greatly improve our understanding. Our focus is on visualizing the data associated with a network and not on simply visualizing the structure of the network itself. We begin with three static network displays; two of these use geographical relationships, while the third is a matrix arrangement that gives equal emphasis to all network links. Static displays can be swamped with large amounts of data; hence we introduce direct- manipulation techniques that permit the graphs to continue to reveal relationships in the context of much more data. In effect, the static displays are parameterized so that interesting views may easily be discovered interactively. The software to carry out this network visualization  is called SeeNet.'",217,'10.1109/2945.468391','IEEE Transactions on Visualization and Computer Graphics - TVCG'
181,371271,'Virtual reality on a WIM: interactive worlds in miniature',"'This paper explores a user interface  technique which aug- ments an immersive head tracked display with a hand-held miniature copy of the virtual environment. We call this interface technique the Worlds in Miniature (WIM) meta- phor. In addition to the first-person perspective offered by a virtual reality  system, a World in Miniatureoffers a second dynamic viewport onto the virtual environment. Objects may be directly manipulated either through the immersive viewport or through the three-dimensional viewport offered by the WIM. In addition to describing object manipulation, this paper explores ways in which Worlds in Miniature can act as a single unifying metaphor for such application independent interaction techniques as object selection, navigation, path planning, and visualization. The WIM metaphor offers mul- tiple points of view and multiple scales  at which the user can operate, without requiring explicit modes or com- mands. Informal user observation indicates that users adapt to the Worlds in Miniature metaphor quickly and that physical props are helpful in manipulating the WIM and other objects in the environment.'",356,'10.1145/223904.223938','Computer Human Interaction - CHI'
182,377249,'The Active Badge Location System',"'A novel system for the location of people in an office environment is described. Members of staff wear badges that transmit signals providing information about their location to a centralized location service, through a network of sensors. The paper also examines alternative location techniques, system design  issues and applications, particularly relating to telephone call routing. Location systems raise concerns about the privacy of an individual, and these issues are also addressed.'",1867,'10.1145/128756.128759','ACM Transactions on Information Systems - TOIS'
183,387520,'A Distributed Location System for the Active Office',"' This article describes the technology of a system forlocating people and equipment, and the design of a distributed system  service supportingaccess to that information. The application interfaces which are made possible by, orbenefit from this facility are presented.1 Location TechnologyThe topology of a fixed network of wireless receivers is the basis for a location system.The position of a mobile wireless transmitter is determined by the identity of the receiverswithin the network.... '",315,null,'IEEE Network - NETWORK'
184,391023,'Mudding: Social Phenomena in Text-Based Virtual Realities',"'A MUD (Multi-User Dungeon or, sometimes, Multi-User Dimension) is a network-accessible, multi-participant, user-extensible virtual reality  whose user interface  is entirely textual. Participants (usually called players) have the appearance of being situated in an artificially-constructed place that also contains those other players who are connected at the same time. Players can communicate easily with each other in real time. This virtual gathering place has many of the social attributes of other places, and many of the usual social mechanisms operate there. Certain attributes of this vir- tual place, however, tend to have significant effects on social phenomena, leading to new mechanisms and modes of behavior not usually seen 'IRL' (in real life). In this paper, I relate my experiences and observations from having created and maintained a MUD for over a year.'",261,null,null
185,416815,'A Survey of Context-Aware Mobile Computing Research',"'Context-aware computing is a mobile computing paradigm in which applications can discover and take advantage of contextual information  (such as user location, time of day, nearby people and devices, and user activity). Since it was proposed about a decade ago, many researchers have studied this topic and built several context-aware applications to demonstrate the usefulness of this new technology. Context-aware applications (or the system infrastructure to support them), however, have never been widely available to everyday users. In this survey of research on context-aware systems  and applications, we looked in depth at the types of context used and models of context information, at systems that support collecting and disseminating context, and at applications that adapt to the changing context. Through this survey, it is clear that context-aware research is an old but rich area for research. The difficulties and possible solutions we outline serve as guidance for researchers hoping to make context-aware computing a reality.'",752,null,null
186,449086,'Digital family portraits: supporting peace of mind for extended family members',"'A growing social problem in the U.S., and elsewhere, is supporting older adults who want to continue living independently, as opposed to moving to an institutional care setting. One key part of this complex problem is providing awareness of senior adults day-to-day activities, promoting peace of mind for extended family members. In this paper, we introduce the concept of a digital family portrait that provides qualitative visualizations of a family members daily life. Leveraging a familiar household object, the picture frame, our design populates the frame with iconic imagery summarizing 28 days. In a final implementation, the digital family portrait would gather information from sensors in the home.'",205,'10.1145/365024.365126','Computer Human Interaction - CHI'
187,449439,'Finding usability problems through heuristic evaluation',"'Usability specialists were better than non-specialists at performing heuristic evaluation, and ""double experts"" with specific expertise in the kind of interface being evaluated performed even better. Major usability problems have a higher probability than minor problems of being found in a heuristic evaluation, but more minor problems are found in absolute numbers. Usability heuristics relating to exits and user errors were more difficult to apply than the rest, and additional measures should be taken to find problems relating to these heuristics. Usability problems that relate to missing interface elements that ought to be introduced were more difficult to find by heuristic evaluation  in interfaces implemented as paper prototypes but were as easy as other problems to find in running systems.'",288,'10.1145/142750.142834','Computer Human Interaction - CHI'
188,449672,'Augmented surfaces: a spatially continuous work space for hybrid computing environments',"'This paper describes our design and implementation  of a computeraugmented environment that allows users to smoothly interchangedigital information among their portable computers, table and walldisplays, and other physical objects. Supported by a camera-basedobject recognition system, users can easily integrate theirportable computers with the pre-installed ones in the environment.Users can use displays projected on tables and walls as a spatiallycontinuous extension of their portable computers. Using aninteraction technique called hyperdragging, users can transferinformation from one computer to another, by only knowing thephysical relationship between them. We also provide a mechanism forattaching digital data to physical objects, such as a videotape ora document folder, to link physical and digital spaces.'",373,'10.1145/302979.303113','Computer Human Interaction - CHI'
189,449783,"'Liveboard: a large interactive display supporting group meetings, presentations, and remote collaboration'","'This paper describes the Liveboard, a large interactive display  system. With nearly one million pixels and an accurate, multi-state, cordless pen, the Liveboard provides a basis for research on user interfaces for group meetings, presentations and remote collaboration. We describe the underlying hardware and software of the Liveboard, along with several software applications that have been developed. In describing the system, we point out the design rationale  that was used to make various choices. We present the results of an informal survey of Liveboard users, and describe some of the improvements that have been made in response to user feedback. We conclude with several general observations about the use of large public interactive displays. '",247,'10.1145/142750.143052','Computer Human Interaction - CHI'
